heart_rate,GSR,time
72.7,0.238095238,2021/12/6 17:33
72,0.238151954,2021/12/6 17:33
71.7,0.238208671,2021/12/6 17:33
71.9,0.238208671,2021/12/6 17:33
72.7,0.238777459,2021/12/6 17:33
73.6,0.238777459,2021/12/6 17:33
74.5,0.238777459,2021/12/6 17:33
75,0.239291697,2021/12/6 17:33
75,0.239291697,2021/12/6 17:33
74.5,0.239463602,2021/12/6 17:33
73.7,0.239722009,2021/12/6 17:33
73.1,0.239463602,2021/12/6 17:33
72.7,0.239980802,2021/12/6 17:33
72.6,0.240298056,2021/12/6 17:33
72.7,0.239980802,2021/12/6 17:33
72.8,0.240153698,2021/12/6 17:33
72.7,0.240558095,2021/12/6 17:33
72.4,0.240673887,2021/12/6 17:33
72,0.240673887,2021/12/6 17:33
72.1,0.241370987,2021/12/6 17:33
72.7,0.241254524,2021/12/6 17:33
73.8,0.241370987,2021/12/6 17:33
75.2,0.241662639,2021/12/6 17:33
76.5,0.241954996,2021/12/6 17:33
77.4,0.241954996,2021/12/6 17:33
77.5,0.241954996,2021/12/6 17:33
76.9,0.242483026,2021/12/6 17:33
76,0.242424257,2021/12/6 17:33
75,0.242571287,2021/12/6 17:33
74.2,0.24301338,2021/12/6 17:33
73.6,0.243072436,2021/12/6 17:33
73.1,0.243072436,2021/12/6 17:33
72.7,0.243190661,2021/12/6 17:33
72,0.243190661,2021/12/6 17:33
71.3,0.243457181,2021/12/6 17:33
70.7,0.24378352,2021/12/6 17:33
70.4,0.24378352,2021/12/6 17:33
70.2,0.243902439,2021/12/6 17:33
70.2,0.24431957,2021/12/6 17:33
70.4,0.244379291,2021/12/6 17:33
70.4,0.244439012,2021/12/6 17:33
69.9,0.244977952,2021/12/6 17:34
69.2,0.244439012,2021/12/6 17:34
68.5,0.244977952,2021/12/6 17:34
68,0.245579568,2021/12/6 17:34
67.9,0.245158127,2021/12/6 17:34
68.4,0.245579568,2021/12/6 17:34
69.3,0.245700246,2021/12/6 17:34
70.4,0.245700246,2021/12/6 17:34
71,0.246123554,2021/12/6 17:34
71.2,0.246426811,2021/12/6 17:34
71,0.246426811,2021/12/6 17:34
70.4,0.246426811,2021/12/6 17:34
69.6,0.246974562,2021/12/6 17:34
69.3,0.246974562,2021/12/6 17:34
69.5,0.246974562,2021/12/6 17:34
70.4,0.246974562,2021/12/6 17:34
71.4,0.247524752,2021/12/6 17:34
72.3,0.247524752,2021/12/6 17:34
72.8,0.24764735,2021/12/6 17:34
72.7,0.2480774,2021/12/6 17:34
71.9,0.247800863,2021/12/6 17:34
70.9,0.248200546,2021/12/6 17:34
70.2,0.248632521,2021/12/6 17:34
70.4,0.248323814,2021/12/6 17:34
71.3,0.248756219,2021/12/6 17:34
73.1,0.249252259,2021/12/6 17:34
75.3,0.249252259,2021/12/6 17:34
77.4,0.249500998,2021/12/6 17:34
78.6,0.249750312,2021/12/6 17:34
79,0.25,2021/12/6 17:34
78.4,0.250187641,2021/12/6 17:34
77.4,0.250187641,2021/12/6 17:34
76.1,0.250563768,2021/12/6 17:34
75.2,0.250250266,2021/12/6 17:34
74.9,0.250752257,2021/12/6 17:34
75,0.250878073,2021/12/6 17:34
75.3,0.251319427,2021/12/6 17:34
75.6,0.251319427,2021/12/6 17:34
75.5,0.251762352,2021/12/6 17:34
75,0.251572327,2021/12/6 17:34
74,0.252016129,2021/12/6 17:34
72.9,0.252016129,2021/12/6 17:34
71.8,0.252016129,2021/12/6 17:34
71.1,0.252143217,2021/12/6 17:34
70.6,0.252716705,2021/12/6 17:34
70.4,0.252716705,2021/12/6 17:34
70.3,0.252716705,2021/12/6 17:34
70.4,0.253421186,2021/12/6 17:34
70.2,0.253228665,2021/12/6 17:34
70.1,0.253228665,2021/12/6 17:34
70.2,0.253807107,2021/12/6 17:34
70.4,0.253807107,2021/12/6 17:34
70.5,0.253807107,2021/12/6 17:34
70.7,0.253936008,2021/12/6 17:34
70.7,0.254388196,2021/12/6 17:34
70.4,0.254388196,2021/12/6 17:34
69.6,0.254452943,2021/12/6 17:34
68.8,0.254647313,2021/12/6 17:34
68.2,0.254647313,2021/12/6 17:34
68,0.255102041,2021/12/6 17:34
68.2,0.255102041,2021/12/6 17:35
68.9,0.255102041,2021/12/6 17:35
69.7,0.255232261,2021/12/6 17:35
70.4,0.255754476,2021/12/6 17:35
70.6,0.255754476,2021/12/6 17:35
70.6,0.255950857,2021/12/6 17:35
70.5,0.256344527,2021/12/6 17:35
70.4,0.256344527,2021/12/6 17:35
70.3,0.256476019,2021/12/6 17:35
70.4,0.256970358,2021/12/6 17:35
70.4,0.256607714,2021/12/6 17:35
70.4,0.257069409,2021/12/6 17:35
69.9,0.257400274,2021/12/6 17:35
69.2,0.257201646,2021/12/6 17:35
68.5,0.257532853,2021/12/6 17:35
68,0.257731959,2021/12/6 17:35
67.7,0.257731959,2021/12/6 17:35
67.7,0.257731959,2021/12/6 17:35
67.9,0.258197779,2021/12/6 17:35
68,0.258197779,2021/12/6 17:35
67.8,0.258331181,2021/12/6 17:35
67.2,0.25846472,2021/12/6 17:35
66.4,0.258933213,2021/12/6 17:35
65.7,0.258866166,2021/12/6 17:35
65,0.259000259,2021/12/6 17:35
64.7,0.25947068,2021/12/6 17:35
65,0.2596054,2021/12/6 17:35
66.4,0.2600104,2021/12/6 17:35
67.2,0.260145682,2021/12/6 17:35
67.7,0.260145682,2021/12/6 17:35
68,0.260416737,2021/12/6 17:35
68,0.260281104,2021/12/6 17:35
67.9,0.260688217,2021/12/6 17:35
67.9,0.260824204,2021/12/6 17:35
68,0.260824204,2021/12/6 17:35
68.2,0.260824204,2021/12/6 17:35
68.3,0.261437908,2021/12/6 17:35
68.3,0.26157468,2021/12/6 17:35
68,0.26157468,2021/12/6 17:35
67.3,0.26157468,2021/12/6 17:35
66.5,0.262123198,2021/12/6 17:35
65.9,0.262123198,2021/12/6 17:35
65.7,0.262260687,2021/12/6 17:35
66,0.262674022,2021/12/6 17:35
67,0.262674022,2021/12/6 17:35
68.5,0.262812089,2021/12/6 17:35
70.4,0.262950375,2021/12/6 17:35
72,0.263227165,2021/12/6 17:35
73.5,0.263365815,2021/12/6 17:35
74.5,0.263504685,2021/12/6 17:35
75,0.263365815,2021/12/6 17:35
75,0.263574064,2021/12/6 17:35
74.5,0.264131009,2021/12/6 17:35
73.7,0.264061281,2021/12/6 17:35
72.7,0.264131009,2021/12/6 17:35
71.7,0.264550265,2021/12/6 17:35
70.8,0.264690312,2021/12/6 17:35
70.4,0.264690312,2021/12/6 17:35
70.4,0.265322385,2021/12/6 17:35
70.4,0.265251989,2021/12/6 17:35
70.6,0.265251989,2021/12/6 17:36
70.6,0.265392781,2021/12/6 17:36
70.4,0.265957447,2021/12/6 17:36
69.7,0.265957447,2021/12/6 17:36
69,0.265957447,2021/12/6 17:36
68.3,0.266453523,2021/12/6 17:36
68,0.266098989,2021/12/6 17:36
67.9,0.26652452,2021/12/6 17:36
68,0.266951415,2021/12/6 17:36
68.1,0.266666667,2021/12/6 17:36
68,0.267165394,2021/12/6 17:36
67.5,0.267594346,2021/12/6 17:36
66.8,0.267236772,2021/12/6 17:36
66.1,0.267236772,2021/12/6 17:36
65.7,0.26795284,2021/12/6 17:36
65.6,0.26788108,2021/12/6 17:36
66.1,0.26795284,2021/12/6 17:36
67,0.268384326,2021/12/6 17:36
68,0.268528464,2021/12/6 17:36
68.6,0.268528464,2021/12/6 17:36
68.8,0.268781122,2021/12/6 17:36
68.6,0.268528464,2021/12/6 17:36
68,0.269106566,2021/12/6 17:36
67.3,0.269251481,2021/12/6 17:36
67,0.269251481,2021/12/6 17:36
67.2,0.269251481,2021/12/6 17:36
68,0.269759914,2021/12/6 17:36
69.2,0.269832723,2021/12/6 17:36
70.6,0.270124435,2021/12/6 17:36
71.9,0.270343336,2021/12/6 17:36
72.7,0.270782562,2021/12/6 17:36
72.8,0.270489586,2021/12/6 17:36
72.3,0.27100273,2021/12/6 17:36
71.4,0.271149695,2021/12/6 17:36
70.4,0.271223217,2021/12/6 17:36
69.2,0.271407292,2021/12/6 17:36
68.4,0.271812993,2021/12/6 17:36
68.1,0.271812993,2021/12/6 17:36
