heart_rate,motion,GSR,battery_info,time,fix_index
91.5,9.9714,1.763357433,100,2020/8/28 17:53,
91.3,9.9865,1.76133874,100,2020/8/28 17:53,
91.3,9.9743,1.763357433,100,2020/8/28 17:53,
91.4,9.9861,1.763357433,100,2020/8/28 17:53,
91.5,9.978,1.759788948,100,2020/8/28 17:53,
91.2,9.9895,1.761804087,100,2020/8/28 17:53,
90.7,9.9912,1.762269927,100,2020/8/28 17:53,
90,9.9905,1.758860381,100,2020/8/28 17:53,
89.1,9.9851,1.760873393,100,2020/8/28 17:53,
88.1,9.9893,1.758396343,100,2020/8/28 17:53,
87.3,9.9901,1.756234687,100,2020/8/28 17:53,
86.9,9.99,1.758396343,100,2020/8/28 17:53,
86.8,9.9878,1.759324419,100,2020/8/28 17:53,
86.9,9.988,1.755617978,100,2020/8/28 17:53,
87.5,9.9822,1.760873393,100,2020/8/28 17:53,
88.3,9.9821,1.761804087,100,2020/8/28 17:53,
89.2,9.985,1.759324419,100,2020/8/28 17:53,
90,9.97,1.762735766,100,2020/8/28 17:54,
90.7,9.9754,1.764290755,100,2020/8/28 17:54,
91.2,9.976,1.762269927,100,2020/8/28 17:54,
91.5,9.9774,1.764290755,100,2020/8/28 17:54,
91.3,9.972,1.764757911,100,2020/8/28 17:54,
91.3,9.9906,1.76366843,100,2020/8/28 17:54,
91.5,9.9925,1.766628514,100,2020/8/28 17:54,
91.7,9.9674,1.768972227,100,2020/8/28 17:54,
92.3,9.9775,1.76366843,100,2020/8/28 17:54,
93,9.9827,1.768503087,100,2020/8/28 17:54,
93.8,9.9699,1.768033946,100,2020/8/28 17:54,
94.3,9.978,1.764135256,100,2020/8/28 17:54,
94.5,9.9822,1.768033946,100,2020/8/28 17:54,
94.3,9.9767,1.768033946,100,2020/8/28 17:54,
93.8,9.9895,1.764913574,100,2020/8/28 17:54,
92.9,9.9925,1.76709666,100,2020/8/28 17:54,
92.1,9.9944,1.768033946,100,2020/8/28 17:54,
91.6,9.9971,1.765225066,100,2020/8/28 17:54,
91.5,9.977,1.766160367,100,2020/8/28 17:54,
91.4,9.9918,1.76709666,100,2020/8/28 17:54,
91.6,9.9853,1.763513261,100,2020/8/28 17:54,
91.6,9.9897,1.764290755,100,2020/8/28 17:54,
91.5,9.9906,1.764290755,100,2020/8/28 17:54,
91.1,9.9805,1.762269927,100,2020/8/28 17:54,
90.8,9.9807,1.762735766,100,2020/8/28 17:54,
90.9,9.9804,1.762735766,100,2020/8/28 17:54,
91.5,9.9858,1.761804087,100,2020/8/28 17:54,
92.3,10.001,1.760253477,100,2020/8/28 17:54,
93.1,9.9841,1.761804087,100,2020/8/28 17:54,
93.7,9.9755,1.762269927,100,2020/8/28 17:54,
93.8,9.9843,1.758860381,100,2020/8/28 17:54,
93.2,9.9776,1.761804087,100,2020/8/28 17:54,
92.3,9.9742,1.760873393,100,2020/8/28 17:54,
91.6,9.9725,1.758860381,100,2020/8/28 17:54,
91.5,9.9905,1.760873393,100,2020/8/28 17:54,
91.8,9.9707,1.760408538,100,2020/8/28 17:54,
92.6,9.9859,1.753616956,100,2020/8/28 17:54,
93.4,9.9792,1.757469244,100,2020/8/28 17:54,
93.8,9.9771,1.758396343,100,2020/8/28 17:54,
93.5,9.9831,1.753616956,100,2020/8/28 17:54,
92.7,9.9901,1.756543123,100,2020/8/28 17:54,
91.9,9.9931,1.755618465,100,2020/8/28 17:54,
91.5,9.9854,1.748557494,100,2020/8/28 17:54,
91.5,9.9803,1.751313485,100,2020/8/28 17:54,
92.2,9.9743,1.750393839,100,2020/8/28 17:54,
93.4,9.9956,1.745200698,100,2020/8/28 17:54,
94.7,9.9926,1.744287459,100,2020/8/28 17:54,
95.8,9.9907,1.743831316,100,2020/8/28 17:54,
96.7,9.995,1.740947075,100,2020/8/28 17:54,
97.6,9.9775,1.738223536,100,2020/8/28 17:54,
98.5,9.9961,1.740038281,100,2020/8/28 17:54,
99.2,9.9737,1.737317582,100,2020/8/28 17:54,
99.7,9.9918,1.735809755,100,2020/8/28 17:54,
99.6,9.9867,1.736412572,100,2020/8/28 17:54,
98.5,9.9684,1.73565913,100,2020/8/28 17:54,
96.2,10.0047,1.730103858,100,2020/8/28 17:54,
93.2,10.0111,1.733102253,100,2020/8/28 17:54,
89.8,9.9994,1.731751784,100,2020/8/28 17:54,
86.8,10.0078,1.730403184,100,2020/8/28 17:54,
84.3,9.9899,1.730403184,100,2020/8/28 17:54,
82.8,9.9793,1.730403184,100,2020/8/28 17:55,
82.2,10.012,1.727115717,100,2020/8/28 17:55,
82.1,9.9871,1.729505361,100,2020/8/28 17:55,
82,9.9996,1.729505361,100,2020/8/28 17:55,
82,9.9982,1.723989427,100,2020/8/28 17:55,
82,9.9912,1.727115717,100,2020/8/28 17:55,
82.1,9.9978,1.727115717,100,2020/8/28 17:55,
82.2,9.9888,1.72488153,100,2020/8/28 17:55,
82.7,9.9895,1.726221302,100,2020/8/28 17:55,
83.5,9.9884,1.726668509,100,2020/8/28 17:55,
84.4,9.9969,1.722801594,100,2020/8/28 17:55,
85,9.9853,1.721170396,100,2020/8/28 17:55,
85.2,9.9792,1.723543606,100,2020/8/28 17:55,
84.9,10.0024,1.722652885,100,2020/8/28 17:55,
84.4,9.9812,1.719099192,100,2020/8/28 17:55,
83.7,9.9969,1.71998624,100,2020/8/28 17:55,
83.3,10.0007,1.721170396,100,2020/8/28 17:55,
83.5,9.99,1.717180504,100,2020/8/28 17:55,
84.4,9.9866,1.719099192,100,2020/8/28 17:55,
85.9,9.9935,1.717770448,100,2020/8/28 17:55,
87.8,10.0172,1.713649329,100,2020/8/28 17:55,
89.8,9.9875,1.714089818,100,2020/8/28 17:55,
91.5,9.9864,1.71320884,100,2020/8/28 17:55,
92.4,9.9892,1.710425153,100,2020/8/28 17:55,
92.6,9.9778,1.712035661,100,2020/8/28 17:55,
92.2,9.9995,1.708817498,100,2020/8/28 17:55,
91.5,9.9805,1.694340901,100,2020/8/28 17:55,
90.5,9.9856,1.689474573,100,2020/8/28 17:55,
89.8,9.99,1.678133962,100,2020/8/28 17:55,
89.3,10.0076,1.671122995,100,2020/8/28 17:55,
89.1,9.9795,1.675041876,100,2020/8/28 17:55,
88.8,9.9963,1.677570877,100,2020/8/28 17:55,
88.3,9.9924,1.679261125,100,2020/8/28 17:55,
87.6,9.9971,1.682651859,100,2020/8/28 17:55,
86.8,9.9848,1.68520391,100,2020/8/28 17:55,
85.9,9.9998,1.68520391,100,2020/8/28 17:55,
85.4,9.989,1.685346216,100,2020/8/28 17:55,
85.7,9.9978,1.686056314,100,2020/8/28 17:55,
86.8,9.9814,1.683501684,100,2020/8/28 17:55,
88.4,10.0024,1.682651859,100,2020/8/28 17:55,
90.4,9.9993,1.686056314,100,2020/8/28 17:55,
92.3,9.9891,1.683785197,100,2020/8/28 17:55,
93.8,9.9936,1.681237391,100,2020/8/28 17:55,
94.4,9.9906,1.68520391,100,2020/8/28 17:55,
94.5,10.0037,1.684352797,100,2020/8/28 17:55,
94.1,9.9846,1.680672459,100,2020/8/28 17:55,
93.8,9.9947,1.683501684,100,2020/8/28 17:55,
93.7,9.9994,1.68520391,100,2020/8/28 17:55,
94.1,9.9793,1.681237391,100,2020/8/28 17:55,
95,9.9803,1.686056314,100,2020/8/28 17:55,
